timestamp,champion,hp,max_hp,x,y,z,is_dead,level,current_gold
0.0,Katarina,0,0,14321,14673,0,0,1,500
60.0,Katarina,0,0,7531,8410,0,0,1,0
120.0,Katarina,0,0,7549,7483,0,0,2,323
180.2,Katarina,0,0,5738,8242,0,0,4,909
240.2,Katarina,0,0,7103,7465,0,0,5,1661
300.2,Katarina,0,0,7127,7405,0,0,6,318
360.2,Katarina,0,0,11450,1284,0,0,6,656
420.2,Katarina,0,0,4300,10167,0,0,7,1123
480.2,Katarina,0,0,13456,12930,0,0,7,10
540.3,Katarina,0,0,7683,7715,0,0,8,364
600.3,Katarina,0,0,4954,8647,0,0,9,944
660.3,Katarina,0,0,8322,7404,0,0,9,1242
720.3,Katarina,0,0,8032,8089,0,0,10,47
780.4,Katarina,0,0,10518,5562,0,0,11,822
840.4,Katarina,0,0,3675,11060,0,0,11,466
900.4,Katarina,0,0,12422,2314,0,0,11,720
960.4,Katarina,0,0,3029,11791,0,0,12,362
1020.4,Katarina,0,0,2127,13184,0,0,12,112
1080.4,Katarina,0,0,7632,5914,0,0,12,483
1140.5,Katarina,0,0,9201,1777,0,0,13,963
1200.5,Katarina,0,0,12389,5736,0,0,14,516
1260.5,Katarina,0,0,5754,12736,0,0,14,950
1320.5,Katarina,0,0,13185,8762,0,0,14,173
1380.5,Katarina,0,0,11335,4680,0,0,15,1358
1440.5,Katarina,0,0,9362,4218,0,0,15,1716
1500.6,Katarina,0,0,11810,13392,0,0,16,163
1560.6,Katarina,0,0,6348,6576,0,0,16,525
1620.6,Katarina,0,0,2875,8351,0,0,16,52
1680.6,Katarina,0,0,6290,8798,0,0,17,198
1740.6,Katarina,0,0,12245,11486,0,0,17,346
1800.6,Katarina,0,0,3929,13564,0,0,17,649
1860.7,Katarina,0,0,7160,8789,0,0,17,957
1920.7,Katarina,0,0,1262,9707,0,0,18,1605
1980.7,Katarina,0,0,10202,10063,0,0,18,2092
2040.7,Katarina,0,0,11031,7082,0,0,18,302
2100.7,Katarina,0,0,12979,1971,0,0,18,2519
2121.9,Katarina,0,0,12740,13207,0,0,18,2220
